customer_id,customer_name,email,city,state,signup_date
1,JOHN CONWAY,tracy20@example.net,Lake Kimberly,PW,2026-01-14
2,DAWN GRANT,emiller@example.com,,NV,2025-03-30
3,CAROL YATES,gomezlisa@example.net,Amandaport,GU,2021-02-05
4,ALEX BOWMAN,browningshawn@example.com,South Melindabury,VT,2024-02-08
5,JANET BYRD,iobrien@example.com,Paulashire,HI,2022-03-13
6,  Arthur Castro,bobby06@example.net,Angelmouth,,2024-01-14
7,TIMOTHY KNIGHT,xhughes@example.com,Lake Alexis,RI,2022-01-27
8,LAURIE HANEY,susanrobinson@example.com,Fordtown,VA,2023-12-28
9,ROBERT HUFFMAN,omelendez@example.net,Port Michaelfurt,UT,2022-09-04
10,JASMINE MELENDEZ,marc24@example.com,Heatherport,MN,2025-08-25
11,  Darrell Hernandez,,Stevenland,TN,2023-03-25
12,DUSTIN JOHNSON,ebennett@example.org,Port Bryan,SC,2022-12-04
13,SUSAN CONLEY,ymcpherson@example.org,Apriltown,SD,invalid_date
14,KARA KING,foxphillip@example.com,New Juliaview,GU,2022-07-26
15,CONNIE GONZALEZ,justin43@example.com,Smithland,GA,2022-04-03
16,LOGAN OLSEN,hkey@example.org,Millsberg,WA,2024-02-23
17,KIMBERLY WILLIAMS,joannahoward@example.net,Port Williamborough,VI,2021-11-08
18,CHARLES HERNANDEZ,barbarabeasley@example.net,North Davidmouth,MI,2022-01-18
19,TERRY VALENZUELA,harrissteven@example.net,Christopherport,AS,2022-01-01
20,TARA WHITE,richardsonelizabeth@example.net,Mendozaland,WI,invalid_date
21,JOSHUA STARK,tiffanymalone@example.org,Bradleyview,WV,2022-07-18
22,  Brian Johnson,brandon46@example.com,Clarkside,VI,2023-05-11
23,  Gary Prince,cheyenne09@example.com,Veronicatown,MA,2021-05-25
24,MICHAEL WONG,thomaslisa@example.com,West Christopherbury,PR,2023-07-26
25,MICHAEL FORD,thomas49@example.com,West Brandonborough,CO,2022-07-15
26,ALLISON WILLIAMS,adunn@example.org,East Gordon,PA,2021-09-03
27,SIERRA MANN,,Stevensmouth,NH,2025-04-15
28,MARY JONES,morenosteven@example.org,New Russell,AZ,2022-02-17
29,LISA RIDDLE,cobbwilliam@example.net,South Angela,OK,2023-05-09
30,JOSE CROSBY,tgray@example.com,Jaredport,NV,2021-09-16
31,  Jennifer Thomas,mhale@example.com,,,2022-06-25
32,AMY SANFORD,,East Laurenshire,MA,2024-01-31
33,MARK BARTON,hartstephen@example.net,New Kristinatown,DE,2024-07-07
34,DIANE TAYLOR,zstark@example.org,,FM,2025-08-01
35,  Fred Holmes,stephanie90@example.org,West Jeremiah,KS,2024-05-05
36,  Debbie Bennett,holtrobin@example.net,Raymondville,GA,2024-12-04
37,HEATHER QUINN,larry30@example.com,Port Brianna,KY,2023-04-05
38,CONNIE HORN,ashley19@example.net,,,invalid_date
39,MR. GREGORY MARTINEZ,msimmons@example.com,,AZ,2025-03-19
40,CYNTHIA FOWLER,shane33@example.com,West Ashley,NC,2025-07-26
7,ROBERT MARTIN,,Jacobsonport,MA,2022-02-05
42,  Judy Moreno,halemelinda@example.com,New Lisa,AK,2023-09-09
43,LARRY SANDOVAL,laurenbrennan@example.com,New Steve,SC,2024-10-19
44,SABRINA SUMMERS DDS,linda22@example.org,West Jason,,2025-12-02
45,RUBEN PENA,macdonaldricardo@example.net,Haroldtown,PR,invalid_date
46,LISA BENNETT,alex77@example.com,New James,,2021-08-29
47,KIMBERLY WILLIAMS,smithcheryl@example.com,Michaelfurt,AL,2025-04-24
48,MONICA JOHNSON,jim29@example.com,Blackburnmouth,ME,2025-07-25
49,JOE CLEMENTS,joseph10@example.net,Williamsonbury,NC,2025-09-02
50,CHELSEA NELSON,kennedyjoseph@example.org,Lucasland,RI,2021-09-06
51,DR. MARGARET BURNS,edwardsdaniel@example.net,Garybury,CT,2023-07-05
