customer_id,customer_name,email,city,state,signup_date,ingest_date
1,CARRIE VELAZQUEZ MD,qbonilla@example.org,Lynchmouth,CT,2023-03-09,2026-01-26 17:43:18.487450
5,JANET BYRD,iobrien@example.com,Paulashire,HI,2022-03-13,2026-01-26 17:43:18.487450
6,  Arthur Castro,bobby06@example.net,Angelmouth,,2024-01-14,2026-01-26 17:43:18.487450
7,TIMOTHY KNIGHT,xhughes@example.com,Lake Alexis,RI,2022-01-27,2026-01-26 17:43:18.487450
12,DUSTIN JOHNSON,ebennett@example.org,Port Bryan,SC,2022-12-04,2026-01-26 17:43:18.487450
16,STEVEN CASTANEDA,freemanchristina@example.com,Gordonbury,WI,2023-08-04,2026-01-26 17:43:18.487450
16,STEVEN BEST,xsalazar@example.org,,,2022-05-07,2026-01-26 17:43:18.487450
19,TODD SANCHEZ,laurakirk@example.net,East Carlyfurt,NY,2023-07-13,2026-01-26 17:43:18.487450
19,TERRY VALENZUELA,harrissteven@example.net,Christopherport,AS,2022-01-01,2026-01-26 17:43:18.487450
21,JOSHUA STARK,tiffanymalone@example.org,Bradleyview,WV,2022-07-18,2026-01-26 17:43:18.487450
27,SIERRA MANN,,Stevensmouth,NH,2025-04-15,2026-01-26 17:43:18.487450
28,BRIAN SANCHEZ,slamb@example.com,Alicebury,AS,2023-01-20,2026-01-26 17:43:18.487450
28,MARY JONES,morenosteven@example.org,New Russell,AZ,2022-02-17,2026-01-26 17:43:18.487450
31,KAREN REYNOLDS,glen98@example.com,West James,MA,2022-02-22,2026-01-26 17:43:18.487450
31,KARINA CARTER,thomasdaniel@example.net,New Cherylburgh,KS,2022-02-06,2026-01-26 17:43:18.487450
34,DIANE TAYLOR,zstark@example.org,,FM,2025-08-01,2026-01-26 17:43:18.487450
36,  Debbie Bennett,holtrobin@example.net,Raymondville,GA,2024-12-04,2026-01-26 17:43:18.487450
37,HEATHER QUINN,larry30@example.com,Port Brianna,KY,2023-04-05,2026-01-26 17:43:18.487450
38,  Christian Erickson,timothy05@example.net,Williamsfort,AR,2022-05-14,2026-01-26 17:43:18.487450
38,CONNIE HORN,ashley19@example.net,,,,2026-01-26 17:43:18.487450
39,PHYLLIS CAIN,sheilawebb@example.com,Nicholasview,PW,2022-01-16,2026-01-26 17:43:18.487450
